(0,0)    78126       0i	   23534+       0i,	   23534,       0i
(0,1)    57307  262138i	     323+     594i,	     323,     594i
(0,2)    55272    2384i	    -280+     800i,	  261864,     800i
(0,3)    56683     189i	     155+    1149i,	     155,    1149i
(0,4)    54561    2489i	    -511+     425i,	  261633,     425i
(0,5)    56431    1467i	     -97+      43i,	  262047,      43i
(0,6)    57603     351i	    1043     -17i,	    1043,  262127i
(0,7)    55187  261774i	     371    -674i,	     371,  261470i
(0,8)    54712     500i	     632+    1060i,	     632,    1060i
(0,9)    55899  261727i	    -997+      47i,	  261147,      47i
(0,10)    57366      81i	     686    -391i,	     686,  261753i
(0,11)    55887     226i	      -1    -622i,	  262143,  261522i
(0,12)    57078    1025i	    1014    -623i,	    1014,  261521i
(0,13)    58991  261411i	     775    -437i,	     775,  261707i
(0,14)    57453  260695i	    -547+     295i,	  261597,     295i
(0,15)    58903    1607i	     383+     783i,	     383,     783i
(0,16)    54799  261173i	    -225    -363i,	  261919,  261781i
(0,17)    60020  260944i	    1020    -152i,	    1020,  261992i
(0,18)    57528  261674i	    -472+     218i,	  261672,     218i
(0,19)    59092     276i	    1428+      68i,	    1428,      68i
(0,20)    58748    1136i	     468+     552i,	     468,     552i
(0,21)    55811     573i	     955     -75i,	     955,  262069i
(0,22)    58445     476i	    1565+     572i,	    1565,     572i
(0,23)    55691    3682i	    -877    -374i,	  261267,  261770i
(0,24)    55567    1672i	     767+     360i,	     767,     360i
(0,25)    54853    1079i	   -1075+      15i,	  261069,      15i
(0,26)    57348  261562i	     564   -1270i,	     564,  260874i
(0,27)    56752    3022i	     104+     838i,	     104,     838i
(0,28)    55181  259701i	     605    -731i,	     605,  261413i
(0,29)    55952  260975i	    -248+      39i,	  261896,      39i
(0,30)    56578     242i	    -238+     642i,	  261906,     642i
(0,31)    56337    1412i	     473+    1308i,	     473,    1308i
(1,0)    57307       6i	     323    -594i,	     323,  261550i
(1,1)    82153       0i	   22777+       0i,	   22777,       0i
(1,2)    58898    2804i	     954+     620i,	     954,     620i
(1,3)    59276  261546i	     356    -238i,	     356,  261906i
(1,4)    58318    2679i	     854+      15i,	     854,      15i
(1,5)    59709    1796i	     789    -228i,	     789,  261916i
(1,6)    58667  261908i	    -285   -1204i,	  261859,  260940i
(1,7)    56701     895i	    -507      -9i,	  261637,  262135i
(1,8)    57141  261630i	     669    -554i,	     669,  261590i
(1,9)    59977  261686i	     689    -594i,	     689,  261550i
(1,10)    59065     383i	      -7    -689i,	  262137,  261455i
(1,11)    59050    1927i	     770+     479i,	     770,     479i
(1,12)    57917    1139i	    -539   -1109i,	  261605,  261035i
(1,13)    60373    1100i	    -235+     796i,	  261909,     796i
(1,14)    61452  261414i	    1060+     414i,	    1060,     414i
(1,15)    61428    1569i	     516+     145i,	     516,     145i
(1,16)    57665  260736i	     249   -1400i,	     249,  260744i
(1,17)    61637  261667i	     245     -29i,	     245,  262115i
(1,18)    60340     697i	     -52+     785i,	  262092,     785i
(1,19)    58378  261696i	   -1678   -1256i,	  260466,  260888i
(1,20)    61007    1619i	     335+     435i,	     335,     435i
(1,21)    57350     751i	     102    -497i,	     102,  261647i
(1,22)    59020     715i	    -252+     211i,	  261892,     211i
(1,23)    58967    4450i	       7    -206i,	       7,  261938i
(1,24)    57800    2630i	     608+     718i,	     608,     718i
(1,25)    57934    1994i	    -386+     330i,	  261758,     330i
(1,26)    60789     994i	    1613    -294i,	    1613,  261850i
(1,27)    60096    2388i	    1056    -396i,	    1056,  261748i
(1,28)    57222  260275i	     254    -757i,	     254,  261387i
(1,29)    59221  261148i	     629    -388i,	     629,  261756i
(1,30)    58546    1399i	    -662+    1199i,	  261482,    1199i
(1,31)    59039     201i	     783    -503i,	     783,  261641i
(2,0)    55272  259760i	    -280    -800i,	  261864,  261344i
(2,1)    58898  259340i	     954    -620i,	     954,  261524i
(2,2)    79984       0i	   23472+       0i,	   23472,       0i
(2,3)    57540  258642i	      52    -958i,	      52,  261186i
(2,4)    56517     168i	     485    -312i,	     485,  261832i
(2,5)    57813  261517i	     325    -467i,	     325,  261677i
(2,6)    55500  261256i	   -2020+     328i,	  260124,     328i
(2,7)    54853  260823i	    -923     -41i,	  261221,  262103i
(2,8)    57118  260953i	    2078+     953i,	    2078,     953i
(2,9)    57090  259197i	    -766    -899i,	  261378,  261245i
(2,10)    58289  261900i	     649+     868i,	     649,     868i
(2,11)    57136  261910i	     288+     502i,	     288,     502i
(2,12)    58008    1129i	     984+    1065i,	     984,    1065i
(2,13)    60717  259139i	    1541   -1125i,	    1541,  261019i
(2,14)    60160  259337i	    1200+     521i,	    1200,     521i
(2,15)    61192  260813i	    1712    -571i,	    1712,  261573i
(2,16)    57007  259897i	    1023     -55i,	    1023,  262089i
(2,17)    60176  259257i	     216    -255i,	     216,  261889i
(2,18)    58791  260411i	    -169+     539i,	  261975,     539i
(2,19)    57732  259918i	    -892    -850i,	  261252,  261294i
(2,20)    59458  262102i	     218+     958i,	     218,     958i
(2,21)    56240     284i	     424+    1220i,	     424,    1220i
(2,22)    57721  259977i	    -119    -487i,	  262025,  261657i
(2,23)    58153    2741i	     625+     269i,	     625,     269i
(2,24)    55525  260957i	    -235    -915i,	  261909,  261229i
(2,25)    55930  261899i	    -958+     275i,	  261186,     275i
(2,26)    58047  260407i	     303    -841i,	     303,  261303i
(2,27)    57513     651i	     -95+      51i,	  262049,      51i
(2,28)    55585  257878i	      49    -970i,	      49,  261174i
(2,29)    58961  259231i	    1801    -121i,	    1801,  262023i
(2,30)    57391  260522i	    -385+     362i,	  261759,     362i
(2,31)    57887  260128i	    1063    -536i,	    1063,  261608i
(3,0)    56683  261955i	     155   -1149i,	     155,  260995i
(3,1)    59276     598i	     356+     238i,	     356,     238i
(3,2)    57540    3502i	      52+     958i,	      52,     958i
(3,3)    81682       0i	   23218+       0i,	   23218,       0i
(3,4)    58334    3072i	    1326+      48i,	    1326,      48i
(3,5)    59268    2225i	     804    -159i,	     804,  261985i
(3,6)    58373     301i	    -123   -1027i,	  262021,  261117i
(3,7)    56880     299i	     128    -965i,	     128,  261179i
(3,8)    55802  261720i	    -214    -824i,	  261930,  261320i
(3,9)    57979  261914i	    -853    -726i,	  261291,  261418i
(3,10)    60036    1597i	    1420+     165i,	    1420,     165i
(3,11)    58147    3322i	     323+    1514i,	     323,    1514i
(3,12)    57953    2554i	     -47     -54i,	  262097,  262090i
(3,13)    60310  261611i	     158   -1197i,	     158,  260947i
(3,14)    59028  262022i	    -908+     662i,	  261236,     662i
(3,15)    60692    1024i	     236    -760i,	     236,  261384i
(3,16)    56842     779i	    -118+     427i,	  262026,     427i
(3,17)    60224     188i	    -712+     276i,	  261432,     276i
(3,18)    59992     916i	      56+     644i,	      56,     644i
(3,19)    60226     529i	     626    -639i,	     626,  261505i
(3,20)    60377  261778i	     161   -1910i,	     161,  260234i
(3,21)    56709     193i	     -83   -1415i,	  262061,  260729i
(3,22)    59250    1912i	     434+    1048i,	     434,    1048i
(3,23)    57011    3793i	   -1493   -1223i,	  260651,  260921i
(3,24)    56323    1813i	    -413    -459i,	  261731,  261685i
(3,25)    58286    2662i	     422+     638i,	     422,     638i
(3,26)    58966     981i	     246    -667i,	     246,  261477i
(3,27)    59505    3077i	     921     -67i,	     921,  262077i
(3,28)    57657  260809i	    1145    -583i,	    1145,  261561i
(3,29)    59305      65i	    1169+     313i,	    1169,     313i
(3,30)    59816  261920i	    1064    -784i,	    1064,  261360i
(3,31)    57968     675i	     168    -389i,	     168,  261755i
